uniq11,Echinodermata,Asteroidea,Asteroidea,Valvatida,Acanthaster,Acanthaster,,,,,,,,
uniq6097,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Amphilepidida,Amphilepidida,,,,,,,,
uniq18495,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Amphiodia,Amphiodia,,,,,,,,
uniq624,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Amphiura,Amphiura microsoma,,,,,,,,
uniq12570,Echinodermata,Holothuroidea,Holothuroidea,Apodida,Apodida,Apodida,,,,,,,,
uniq10510,Echinodermata,Echinoidea,Echinoidea,Arbaciidae,Arbacia,Arbacia,,,,,,,,
uniq14416,Echinodermata,Echinoidea,Echinoidea,Arbaciidae,Arbacia,Arbacia,,,,,,,,
uniq50818,Echinodermata,Echinoidea,Echinoidea,Arbaciidae,Arbacia,Arbacia,,,,,,,,
uniq15792,Echinodermata,Echinoidea,Echinoidea,Diadematoida,Astropyga,Astropyga,,,,,,,,
uniq6289,Echinodermata,Echinoidea,Echinoidea,Camarodonta,Camarodonta,Camarodonta,,,,,,,,
uniq8750,Echinodermata,Crinoidea,Crinoidea,Comatulida,Comanthus,Comanthus,,,,,,,,
uniq11177,Echinodermata,Crinoidea,Crinoidea,Comatulida,Comatulida,Comatulida,,,,,,,,
uniq502,Echinodermata,Crinoidea,Crinoidea,Comatulida,Comatulida,Comatulida,,,,,,,,
uniq27727,Echinodermata,Asteroidea,Asteroidea,Valvatida,Dactylosaster,Dactylosaster cylindricus,,,,,,,,
uniq20934,Echinodermata,Asteroidea,Asteroidea,Spinulosida,Echinaster,Echinaster,,,,,,,,
uniq1263,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,,,,,,,,
uniq18380,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,,,,,,,,
uniq39,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,,,,,,,,
uniq46288,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,,,,,,,,
uniq944,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,Echinodermata,,,,,,,,
uniq21563,Echinodermata,Echinoidea,Echinoidea,Diadematoida,Echinothrix,Echinothrix,,,,,,,,
uniq5281,Echinodermata,Echinoidea,Echinoidea,Cidaroida,Eucidaris,Eucidaris metularia,,,,,,,,
uniq1148,Annelida,Polychaeta,Polychaeta,Eunicida,Eurythoe,Eurythoe,,,,,,,,
uniq36867,Echinodermata,Echinoidea,Echinoidea,Clypeasteroida,Fibularia,Fibularia,,,,,,,,
uniq5028,Echinodermata,Asteroidea,Asteroidea,Valvatida,Fromia,Fromia indica,,,,,,,,
uniq11734,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria,,,,,,,,
uniq12820,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria,,,,,,,,
uniq14,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria pardalis,,,,,,,,
uniq17089,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria,,,,,,,,
uniq18520,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria,,,,,,,,
uniq3021,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria,,,,,,,,
uniq32420,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria,,,,,,,,
uniq4132,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria,,,,,,,,
uniq46011,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria,,,,,,,,
uniq46911,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria,,,,,,,,
uniq46978,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria pardalis,,,,,,,,
uniq925,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Holothuria,Holothuria,,,,,,,,
uniq18282,Echinodermata,Echinoidea,Echinoidea,Camarodonta,Koehleraster,Koehleraster,,,,,,,,
uniq2724,Echinodermata,Echinoidea,Echinoidea,Camarodonta,Koehleraster,Koehleraster,,,,,,,,
uniq50762,Echinodermata,Echinoidea,Echinoidea,Camarodonta,Koehleraster,Koehleraster,,,,,,,,
uniq9178,Echinodermata,Echinoidea,Echinoidea,Camarodonta,Koehleraster,Koehleraster,,,,,,,,
uniq36872,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Labidodemas,Labidodemas pertinax,,,,,,,,
uniq4552,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Labidodemas,Labidodemas,,,,,,,,
uniq4770,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Labidodemas,Labidodemas pertinax,,,,,,,,
uniq50922,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Labidodemas,Labidodemas pertinax,,,,,,,,
uniq19782,Echinodermata,Asteroidea,Asteroidea,Valvatida,Linckia,Linckia,,,,,,,,
uniq3609,Echinodermata,Asteroidea,Asteroidea,Valvatida,Linckia,Linckia guildingi,,,,,,,,
uniq50063,Echinodermata,Asteroidea,Asteroidea,Valvatida,Linckia,Linckia,,,,,,,,
uniq8240,Echinodermata,Echinoidea,Echinoidea,Spatangoida,Lovenia,Lovenia,,,,,,,,
